empresa_raw,channel_code,n_estadias
DESCUBRE. S.T,UNKNOWN,1
LIC NATHY,REFERIDO,1
DJ DE NATHY,REFERIDO,1
BOOKINS,UNKNOWN,1
VISION MUNOD,UNKNOWN,1
ARQ. CARLOS DAVALOS,UNKNOWN,1
BOOKING (BEM THOPSON),OTA,1
THPSON,UNKNOWN,1
LLU,UNKNOWN,1
CLIENTE0,REFERIDO,1
B,UNKNOWN,1
RECOMENDADOS,REFERIDO,1
COLEGIO DE INGENIEROS CIVILIES,UNKNOWN,1
QUIMBAYA,UNKNOWN,1
CLIENTES,REFERIDO,1
EMBAJADA DE RUSIA,UNKNOWN,1
EMBAJADA DE EGIPTO,UNKNOWN,1
FAIR PLAR,UNKNOWN,1
EMBAJDA DE COLOMBIA,UNKNOWN,1
EMBAJAJADA DE MEXICO,UNKNOWN,1
PRIME SRL,EMPRESA,1
BANCO DESARROLLO,EMPRESA,1
ING CIVIL,UNKNOWN,1
OPAL LTDA,EMPRESA,1
LAFAGE,UNKNOWN,1
KHOLBETH,UNKNOWN,1
IDEPRO IFD,UNKNOWN,1
BOOINK,UNKNOWN,1
BOOKIBG,UNKNOWN,1
GRUPO SAYA B,UNKNOWN,1
PLU CON PLA,UNKNOWN,1
BOOKIMG,UNKNOWN,1
BOOKINKG,UNKNOWN,1
PRESIDENTE DE DIPUTADOS,UNKNOWN,1
EMBAJADA DE CHINA,UNKNOWN,1
EMBAJADA DE SUDAFRICA,UNKNOWN,1
EMBAJADA DE PERU,UNKNOWN,1
EMBAJADA D EAUSTRALIA,UNKNOWN,1
DIPUTADA DE LA PAZ,UNKNOWN,1
EMBAJADOR D EBRASIL,UNKNOWN,1
DIPUTADA DE BENI,UNKNOWN,1
CAMARA DE DIPUTADOS,UNKNOWN,1
BANCO MUNDIAL,EMPRESA,1
EMBAJADA D EEGIPTO,UNKNOWN,1
FOUR TOUR SUCRE,AGENCIA,1
BBOKING,UNKNOWN,1
NESTLE,UNKNOWN,1
SAN SIMONS,UNKNOWN,1
INDUSTRIA VENADO,UNKNOWN,1
SAM SIMON,UNKNOWN,1
BOLIVIA MILENARIA,UNKNOWN,1
REP. DOMINICANA,UNKNOWN,1
DOMINICANA,UNKNOWN,1
EMB. COLOMBIA,UNKNOWN,1
AZIMUT,UNKNOWN,1
ANBDAVENTURE,UNKNOWN,1
COFAR,UNKNOWN,1
